name,id,lon,lat
ІВАНЕ-ПУСТЕ,1,26.1706387,48.6455487
ІВАНИЧІ,2,24.367958,50.6379607
ІВАНО-ФРАНКІВСЬК,3,24.7238535,48.9254253
ІГРЕНЬ,4,35.1887445,48.4729628
ІЗМАЇЛ,5,28.8121035,45.3599811
ІНГУЛЕЦЬ,6,33.1424107,47.6796019
ІНДУСТРІАЛЬНА,7,36.3980146,49.9465931
ІРША,8,29.4517148,50.7210593
ІЧНЯ,9,32.408154,50.8421945
АВГУСТІВСЬКИЙ,10,32.3689624,50.7790361
АВДІЇВКА,11,37.7333775,48.1490678
АВИАЦИОННАЯ,12,37.8358311,55.4224224
АПОСТОЛОВЕ,13,33.6944452,47.6586607
АРОМАТНА,14,35.886705,48.6275055
АРЦИЗ,15,29.4201956,45.9970579
БІЛА КРИНИЦЯ,16,33.196153700000004,47.3514861
БІЛОБОЖНИЦЯ,17,25.6871364,49.0396557
БІЛОКОРОВИЧІ,18,28.0512902,51.1174776
БІЛЯЇВКА,19,36.306698,49.2639059
БАЗАИХА,20,93.0654672,56.0220954
БАЛІВКА,21,34.8404162,48.5935117
БАЛАКЛІЯ,22,36.861936,49.46766
БАЛОВНЕ,23,31.9301163,47.0931231
БАЛТА,24,29.6249684,47.8743769
БАНДУРКА,25,31.0339863,48.1243337
БАНТИШЕВЕ,26,37.2701511,48.859831
БАРАНОВИЧИ-ЦЕНТРАЛЬНЫЕ,27,25.9935383,53.1321512
БАРВІНКОВЕ,28,37.0205585,48.8957183
БАСИ,29,34.8866587,50.862067
БАТАРЕЙНАЯ,30,104.1366411,52.3871762
БАТУРИНСЬКА,31,33.4852258,47.8719948
БАТЬОВО,32,22.385947,48.3614679
БАХМАЧ-ГОМЕЛЬСЬКИЙ,33,32.8183887,51.1785044
БАХМАЧ-ПАСАЖИРСЬКИЙ,34,32.8411486,51.1879235
БЕРДЯНСЬК,35,36.8037117,46.7509537
БЕРЕГОВА,36,31.0439237,46.6322429
БЕРЕГОМЕТ,37,25.3470559,48.1756816
БЕРЕЗАНЬ,38,31.501923,50.3280747
БИКЛЯНЬ,39,51.9707057,55.5913571
БЛАКИТНЕ,40,33.4407618,47.4093065
БОБРОВИЦЯ,41,31.3714076,50.7635688
БОБРУЙСК,42,29.1951358,53.1376319
БОГОДУХІВ,43,35.4899412,50.1567105
БОГУСЛАВСЬКИЙ,44,36.0278711,48.4440402
БОЛЕХІВ,45,23.8721513,49.063227500000004
БОРИСОВ,46,28.5310893,54.2207538
БОРИСПІЛЬ,47,30.9444786,50.3770408
БОРЩІВ,48,26.0593509,48.8043818
БРАТСК,49,101.5450948,56.122209
БРОВАРИ,50,30.8137269,50.5143973
БРОДИ,51,25.1407983,50.0741054
БУГАЗ,52,30.4494212,46.0644017
БУРШТИН,53,24.6475984,49.2172712
БУЧАЧ,54,25.3745113,49.0611931
ВІЛЬНОГІРСЬК,55,34.0132599,48.4648695
ВІННИЦЯ,56,28.5109544,49.2392699
ВАДУЛ-СІРЕТ,57,25.9599828,48.0236496
ВАЛУЙКИ,58,38.1208187,50.1991477
ВАПНЯРКА,59,28.7455309,48.5339315
ВЕЛИКО-АНАДОЛЬ,60,37.4858095,47.6982544
ВЕРБКА,61,24.6932718,51.2339331
ВЕРХНЬОДНІПРОВСЬК,62,34.3746556,48.5532447
ВЕСЕЛИЙ ПОДІЛ,63,33.1880301,49.6032469
ВИРІВКА,64,33.172971,51.2628833
ВИШНЕВЕ,65,30.3700927,50.3845779
ВЛАДИКАВКАЗ,66,44.6881553,43.037859
ВОВЧАНСЬК,67,36.9193108,50.2837505
ВОДОЛАГА,68,35.8789796,49.7079159
ВОЗНЕСЕНСЬК,69,31.3235626,47.5735362
ВОЛЖСК,70,48.3610474,55.8628155
ВОЛНОВАХА,71,37.4897753,47.6016664
ВОЛОВЕЦЬ,72,23.1846342,48.7136239
ВОЛОДИМИР-ВОЛИНСЬКИЙ,73,24.3351332,50.8450483
ВОЛОЧИСЬК,74,26.2084599,49.5323083
ВОРОЖБА,75,34.2244171,51.170062
ВОСКОБІЙНЯ,76,34.4662355,48.5224253
ГІРНИК,77,38.4495827,48.2044283
ГАВРИЛІВКА,78,36.8050912,48.8538787
ГАДЯЧ ІМ. СЕРГІЄНКА М.І.,79,33.975594,50.3855602
ГАЙСИН,80,29.3911586,48.7957688
ГАЛЕЩИНА,81,33.7540747,49.1708314
ГАЛИЧ,82,24.7327084,49.1370743
ГЛИННА-НАВАРІЯ,83,23.8969618,49.7374204
ГЛОБИНЕ,84,33.2265276,49.3997692
ГНІДАВА,85,25.3195057,50.6908786
ГОЛОБИ,86,25.0063518,51.083481
ГОЛОВАНІВСЬК,87,30.3967266,48.3598736
ГОЛУБИЧІ,88,31.1125234,51.7785556
ГОРОДИЩЕ,89,27.8474656,53.9868498
ГОРОХОВЕЦ,90,42.8143708,56.1592808
ГОРЯЇНОВЕ,91,34.9823816,48.478465
ГРАКОВЕ,92,36.8671073,49.7291512
ГРЕБІНКА,93,32.4322795,50.1220775
ГРЕБЕНІВ,94,23.4702653,48.9777539
ГРЕКУВАТА,95,33.3908705,48.09582
ГРЕЧАНИ,96,26.9296625,49.442871
ГУБИНИХА,97,35.2732131,48.8126571
ГУМЕНЦІ,98,26.6059867,48.7698729
ГУСАРІВКА,99,37.1489222,48.8826899
ГУСИНКА,100,37.4119477,49.8475071
ДІЇВКА,101,34.9116856,48.4627335
ДАРНИЦЯ,102,30.6457128,50.4315392
ДЕКОНСЬКА,103,38.0837805,48.6769662
ДЕРАЖНЯ,104,27.430666,49.2672578
ДЖУЛИНКА,105,29.7360354,48.4575213
ДЗИНІЛОР,106,29.1146039,45.6510486
ДНІПРО-ВАНТАЖНИЙ,107,34.9910132,48.4217014
ДНІПРО-ГОЛОВНИЙ,108,35.0151028,48.4777573
ДНІПРО-ЛІСКИ,109,34.9924656,48.4091296
ДОБРОПІЛЛЯ,110,37.0759021,48.4485325
ДОБРОСИН,111,23.8284482,50.1241088
ДОЛИНСЬКА,112,32.7601379,48.1152632
ДРОГОБИЧ,113,23.5436425,49.3550316
ДРУЖКІВКА,114,37.5466088,48.6272563
ДУБІВЦІ,115,24.7956505,49.0916957
ДУБЛЯНИ-ЛЬВІВСЬКІ,116,24.0920717,49.8825334
ДУБРОВИЦЯ,117,26.5951565,51.5606403
ДУНАЇВЦІ,118,26.8399244,49.022305
ЕЛЕЦ,119,38.5257962,52.6061309
ЕСЕНЬ,120,22.3139924,48.3951363
ЕССЕНТУКИ,121,42.8543592,44.0482243
ЕСХАР,122,36.5644128,49.8278231
ЕФРЕМОВ,123,38.1255529,53.1486167
ЖЕРЕБКОВЕ,124,29.8763173,47.8365182
ЖИДАЧІВ,125,24.1578168,49.3778364
ЖИТОМИР,126,28.6987568,50.2684766
ЖМЕРИНКА,127,28.1119967,49.0340265
ЖОВТНЕВА,128,31.9744825,46.8393946
ЖОДИНО,129,28.340996,54.1022401
ЖОРНАВА,130,22.6329601,48.9869012
ЖУКОТКИ,131,31.012306,51.5023864
ЗАКУПНЕ,132,26.3204147,49.1119092
ЗАЛІЩИКИ,133,25.7384967,48.6453913
ЗАПЛАЗИ,134,30.1237609,47.8590743
ЗАПОВІТНЕ,135,33.558835,46.7739993
ЗАПОРІЖЖЯ-ВАНТАЖНЕ,136,35.2570475,47.8554368
ЗАПОРІЖЖЯ-ЛІВЕ,137,35.2285115,47.8788032
ЗАСІЛЛЯ,138,32.4206833,47.0249643
ЗАСУЛЛЯ,139,33.4897977,50.7013133
ЗАТИШШЯ,140,29.8787023,47.3359765
ЗБАРАЖ,141,25.7629638,49.6779581
ЗВЕНИГОРОДКА,142,30.983284,48.9824045
ЗДОЛБУНІВ,143,26.2569062,50.5279901
ЗЕЛЕНЕ ПОЛЕ,144,33.6600013,47.5566537
ЗЛОЧІВ,145,24.8902296,49.789464
ЗНАМ’ЯНКА,146,32.6580952,48.7158834
ЗОЛОТНИШИНЕ,147,33.6449094,49.019022
ЗЯТКІВЦІ,148,29.4456187,48.7102903
ИСАКОГОРКА,149,40.6090288,64.4291407
КІВЕРЦІ,150,25.4622891,50.8303663
КІНЕЦЬПІЛЬ,151,30.8446581,47.9672118
КАВУНИ,152,31.2728684,47.9101104
КАГАМЛИЦЬКА,153,33.4507794,49.1327278
КАЗНАЧЕЕВКА,154,37.5455393,54.0526021
КАЛИНКОВИЧИ,155,29.3134619,52.1389091
КАЛУШ,156,24.3489717,49.0126164
КИЇВ-ВОЛИНСЬКИЙ,157,30.4314658,50.4120772
КИЇВ-ДЕМІЇВСЬКИЙ,158,30.5366674,50.4050787
КИЇВ-ДНІПРОВСЬКИЙ,159,30.5963979,50.4615058
КИЇВ-ЛІСКИ,160,30.6621395,50.4487767
КИЇВ-ПАСАЖИРСЬКИЙ,161,30.4886551,50.4398558
КЛЕВАНЬ,162,26.0277736,50.7513761
КЛЕПАРІВ,163,23.9805606,49.8554619
КНЯЖЕВЕ,164,28.8129397,48.4718816
КОБЕЛЯКИ,165,34.1036723,49.2307042
КОВЕЛЬ,166,24.7124893,51.2212513
КОДИМА,167,29.1213883,48.0912018
КОДНЯ,168,28.6646161,50.1077887
КОЗЕНКИ,169,29.1806183,52.0318246
КОЗОВА,170,25.1642758,49.4294691
КОЙТЫ,171,50.6817021,61.8499859
КОЛОМИЯ,172,25.0603855,48.5346411
КОЛЯДИЧИ,173,27.5797714,53.8080972
КОМАРІВЦІ,174,27.6637464,49.1957684
КОМБИНАТСКАЯ,175,59.413981,54.3309678
КОМИШ-ЗОРЯ,176,36.6985604,47.3279536
КОНОНІВКА,177,32.1065118,50.1775381
КОНОТОП,178,33.1878626,51.2231538
КОРИСТІВКА,179,33.0662318,48.7321503
